participant_group,round,player_name,team,team_code,position,effective_position,is_playing_xi,sub_order,captain_flag,vice_flag,fantasy_points_final,potm_bonus,points_multiplier,counted_points,counted_points_type,subbed_out,subbed_in,final_playing_xi,team_round,match_date,match_id,chip_converter,chip_best11,chip_flexicap,chip_matchwinner,points_breakdown_str
Group 2,3,Philip Salt,England,ENG,WK,WK,1,0,0,0,14.0,0,1,14.0,PLAYING_XI,0,0,1,3,2026-02-14,1512741,0,0,0,0,Runs: 2 → 2 | Catches: 1 → 8 | Announced: 1 → 4
Group 2,3,Sahibzada Farhan,Pakistan,PAK,WK,WK,1,0,0,0,2.0,0,1,2.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Duck: 0 → -2 | Announced: 1 → 4
Group 2,3,Shai Hope,West Indies,WI,WK,WK,1,0,0,0,121.0,0,1,121.0,PLAYING_XI,0,0,1,3,2026-02-15,1512743,0,0,0,0,Runs: 61 → 61 | Fours: 5 → 20 | Sixes: 3 → 18 | Runs milestone bonus: 61 → 8 | Catches: 1 → 8 | Strike Rate: 141.86 → 2 | Announced: 1 → 4
Group 2,3,Tom Banton,England,ENG,WK,WK,1,0,0,0,179.0,50,1,179.0,PLAYING_XI,0,0,1,3,2026-02-14,1512741,0,0,0,0,Runs: 63 → 63 | Fours: 4 → 16 | Sixes: 3 → 18 | Runs milestone bonus: 63 → 8 | Catches: 2 → 16 | Strike Rate: 153.66 → 4 | Announced: 1 → 4
Group 2,3,Fakhar Zaman,Pakistan,PAK,BAT,BAT,1,0,0,0,0.0,0,1,0.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,DID NOT PLAY
Group 2,3,Ishan Kishan,India,IND,WK,BAT,1,0,1,0,219.0,50,2,438.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,1,0,0,0,Runs: 77 → 77 | Fours: 10 → 40 | Sixes: 3 → 18 | Runs milestone bonus: 77 → 12 | Stumpings: 1 → 12 | Strike Rate: 192.5 → 6 | Announced: 1 → 4
Group 2,3,Rinku Singh,India,IND,BAT,BAT,1,0,0,0,44.0,0,1,44.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Runs: 11 → 11 | Fours: 1 → 4 | Sixes: 1 → 6 | Dot balls: 3 → 3 | Catches: 2 → 16 | Announced: 1 → 4
Group 2,3,Daryl Mitchell,New Zealand,NZ,AR,AR,1,0,0,0,72.0,0,1,72.0,PLAYING_XI,0,0,1,3,2026-02-14,1512742,0,0,0,0,Runs: 32 → 32 | Fours: 2 → 8 | Sixes: 1 → 6 | Runs milestone bonus: 32 → 4 | Catches: 2 → 16 | Strike Rate: 133.33 → 2 | Announced: 1 → 4
Group 2,3,Gudakesh Motie,West Indies,WI,AR,AR,1,0,0,0,8.0,0,1,8.0,PLAYING_XI,0,0,1,3,2026-02-15,1512743,0,0,0,0,Dot balls: 4 → 4 | Announced: 1 → 4
Group 2,3,Jacob Duffy,New Zealand,NZ,BOWL,BOWL,1,0,0,0,2.0,0,1,2.0,PLAYING_XI,0,0,1,3,2026-02-14,1512742,0,0,0,0,Dot balls: 4 → 4 | Economy Rate: 16.67 → -6 | Announced: 1 → 4
Group 2,3,Matthew Forde,West Indies,WI,BOWL,BOWL,0,1,0,0,94.0,0,1,94.0,PLAYING_XI,0,1,1,3,2026-02-15,1512743,0,0,0,0,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Maiden overs: 1 → 12 | Dot balls: 18 → 18 | Catches: 2 → 16 | Economy Rate: 2.5 → 6 | Announced: 1 → 4
Group 2,3,Matt Renshaw,Australia,AUS,BAT,BAT,0,4,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-16,1512748,0,0,0,0,DID NOT PLAY
Group 2,3,Quentin Sampson,West Indies,WI,AR,AR,0,3,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-15,1512743,0,0,0,0,DID NOT PLAY
Group 2,3,Arshdeep Singh,India,IND,BOWL,BOWL,1,0,0,1,0.0,0,1,0.0,SUB,1,0,0,3,2026-02-15,1512745,0,0,0,0,DID NOT PLAY
Group 2,3,Fazalhaq Farooqi,Afghanistan,AFG,BOWL,BOWL,0,2,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-16,1512746,0,0,0,0,DID NOT PLAY
Group 3,3,Jos Buttler,England,ENG,WK,WK,1,0,0,1,13.0,0,1,13.0,PLAYING_XI,0,0,1,3,2026-02-14,1512741,0,0,0,0,Runs: 3 → 3 | Runout - indirect: 1 → 6 | Announced: 1 → 4
Group 3,3,David Miller,South Africa,SA,BAT,BAT,1,0,0,0,48.0,0,1,48.0,PLAYING_XI,0,0,1,3,2026-02-14,1512742,0,0,0,0,Runs: 24 → 24 | Fours: 1 → 4 | Sixes: 1 → 6 | Catches: 1 → 8 | Strike Rate: 141.18 → 2 | Announced: 1 → 4
Group 3,3,Ibrahim Zadran,Afghanistan,AFG,BAT,BAT,1,0,0,0,103.0,0,1,103.0,PLAYING_XI,0,0,1,3,2026-02-16,1512746,0,0,0,0,DID NOT PLAY
Group 3,3,Pavan Rathnayake,Sri Lanka,SL,BAT,BAT,1,0,0,0,66.0,0,1,66.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Runs: 28 → 28 | Fours: 6 → 24 | Runs milestone bonus: 28 → 4 | Strike Rate: 186.67 → 6 | Announced: 1 → 4
Group 3,3,Azmatullah Omarzai,Afghanistan,AFG,AR,AR,1,0,0,0,337.0,50,1,337.0,PLAYING_XI,0,0,1,3,2026-02-16,1512746,0,0,0,0,DID NOT PLAY
Group 3,3,Dunith Wellalage,Sri Lanka,SL,AR,AR,1,0,0,0,47.0,0,1,47.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Wickets: 1 → 30 | Dot balls: 5 → 5 | Catches: 1 → 8 | Announced: 1 → 4
Group 3,3,Gulbadin Naib,Afghanistan,AFG,AR,AR,1,0,0,0,28.0,0,1,28.0,PLAYING_XI,0,0,1,3,2026-02-16,1512746,0,0,0,0,DID NOT PLAY
Group 3,3,Rashid Khan,Afghanistan,AFG,AR,AR,1,0,0,0,55.0,0,1,55.0,PLAYING_XI,0,0,1,3,2026-02-16,1512746,0,0,0,0,DID NOT PLAY
Group 3,3,Akeal Hosein,West Indies,WI,BOWL,BOWL,1,0,0,0,51.0,0,1,51.0,PLAYING_XI,0,0,1,3,2026-02-15,1512743,0,0,0,0,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Dot balls: 9 → 9 | Announced: 1 → 4
Group 3,3,Jasprit Bumrah,India,IND,BOWL,BOWL,1,0,1,0,77.0,0,2,154.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Wickets: 2 → 60 | LBW/Bowled bonus: 1 → 8 | Dot balls: 5 → 5 | Announced: 1 → 4
Group 3,3,Jofra Archer,England,ENG,BOWL,BOWL,1,0,0,0,80.0,0,1,80.0,PLAYING_XI,0,0,1,3,2026-02-14,1512741,0,0,0,0,Wickets: 2 → 60 | Dot balls: 14 → 14 | Economy Rate: 6.0 → 2 | Announced: 1 → 4
Group 3,3,Rovman Powell,West Indies,WI,BAT,BAT,0,3,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-15,1512743,0,0,0,0,DID NOT PLAY
Group 3,3,Tim David,Australia,AUS,BAT,BAT,0,2,0,0,14.0,0,1,0.0,SUB,0,0,0,3,2026-02-16,1512748,0,0,0,0,Runs: 6 → 6 | Fours: 1 → 4 | Announced: 1 → 4
Group 3,3,Ish Sodhi,New Zealand,NZ,BOWL,BOWL,0,4,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-14,1512742,0,0,0,0,DID NOT PLAY
Group 3,3,Matt Henry,New Zealand,NZ,BOWL,BOWL,0,1,0,0,25.0,0,1,0.0,SUB,0,0,0,3,2026-02-14,1512742,0,0,0,0,Runs: 9 → 9 | Fours: 1 → 4 | Dot balls: 8 → 8 | Announced: 1 → 4
Group 4,3,Kusal Perera,Sri Lanka,SL,WK,WK,0,1,0,0,13.0,0,1,13.0,PLAYING_XI,0,1,1,3,2026-02-16,1512748,0,0,0,0,Runs: 1 → 1 | Catches: 1 → 8 | Announced: 1 → 4
Group 4,3,Pathum Nissanka,Sri Lanka,SL,BAT,BAT,1,0,0,0,254.0,50,1,254.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Runs: 100 → 100 | Fours: 10 → 40 | Sixes: 5 → 30 | Runs milestone bonus: 100 → 16 | Catches: 1 → 8 | Strike Rate: 192.31 → 6 | Announced: 1 → 4
