player_name_str,canonical_player_name,fantasy_points_final,points_pairs_str,nation_code,role,match_id,team1,team2,runs,balls_faced,fours,sixes,is_out,wickets,bowled_lbw_wickets,maidens,legal_balls_bowled,runs_conceded_by_bowler,dot_balls,catches,stumpings,runouts_direct,runouts_indirect,strike_rate,bowling_economy,played_match_flag,is_captain_flag,is_vicecaptain_flag,runs_points_int,boundary_points_int,six_points_int,milestone_bonus_points_int,duck_points_int,wicket_points_int,lbw_bowled_bonus_points_int,maiden_points_int,wicket_haul_bonus_points_int,dot_ball_points_int,catch_points_int,catch_3_bonus_points_int,stumping_points_int,runout_direct_points_int,runout_indirect_points_int,strike_rate_points_int,economy_rate_points_int,appearance_points_int,batting_points_int,bowling_points_int,fielding_points_int,base_total_points_int,captain_multiplier_int,final_total_points_int,fantasy_points_int,eligible_fantasy_points_int,match_date_x,match_label_x,team_code,json_name_key,match_date_y,match_label_y
RK Singh,Rinku Singh,12,Runs: 6 → 6 | Catches: 1 → 8 | Strike Rate: 42.86 → -6 | Announced: 1 → 4,IND,BAT,1512721,India,United States of America,6,14,0,0,1,0,0,0,0,0,0,1,0,0,0,42.86,0.0,1,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,-6,0,4,6,0,8,12,1,12,12,12,,,India,rk singh,2026-02-07,India vs United States of America
HH Pandya,Hardik Pandya,21,Runs: 5 → 5 | Fours: 1 → 4 | Dot balls: 8 → 8 | Announced: 1 → 4,IND,AR,1512721,India,United States of America,5,6,1,0,1,0,0,0,24,34,8,0,0,0,0,83.33,8.5,1,0,0,5,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,9,0,0,21,1,21,21,21,,,India,hh pandya,2026-02-07,India vs United States of America
AR Patel,Axar Patel,98,Runs: 14 → 14 | Fours: 2 → 8 | Wickets: 2 → 60 | Dot balls: 10 → 10 | Economy Rate: 6.0 → 2 | Announced: 1 → 4,IND,AR,1512721,India,United States of America,14,11,2,0,1,2,0,0,24,24,10,0,0,0,0,127.27,6.0,1,0,0,14,8,0,0,0,60,0,0,0,10,0,0,0,0,0,0,2,4,22,60,0,98,1,98,98,98,,,India,ar patel,2026-02-07,India vs United States of America
Arshdeep Singh,Arshdeep Singh,91,Runs: 4 → 4 | Fours: 1 → 4 | Wickets: 2 → 60 | Dot balls: 13 → 13 | Economy Rate: 4.5 → 6 | Announced: 1 → 4,IND,BOWL,1512721,India,United States of America,4,6,1,0,1,2,0,0,24,18,13,0,0,0,0,66.67,4.5,1,0,0,4,4,0,0,0,60,0,0,0,13,0,0,0,0,0,0,6,4,8,60,0,91,1,91,91,91,,,India,arshdeep singh,2026-02-07,India vs United States of America
CV Varun,Varun Chakaravarthy,54,Wickets: 1 → 30 | Dot balls: 10 → 10 | Catches: 1 → 8 | Economy Rate: 6.0 → 2 | Announced: 1 → 4,IND,BOWL,1512721,India,United States of America,0,0,0,0,0,1,0,0,24,24,10,1,0,0,0,0.0,6.0,1,0,0,0,0,0,0,0,30,0,0,0,10,8,0,0,0,0,0,2,4,0,30,8,54,1,54,54,54,,,India,cv varun,2026-02-07,India vs United States of America
Mohammed Siraj,Mohammed Siraj,127,Wickets: 3 → 90 | LBW/Bowled bonus: 1 → 8 | 3-Wicket bonus: 3 → 4 | Dot balls: 13 → 13 | Catches: 1 → 8 | Announced: 1 → 4,IND,BOWL,1512721,India,United States of America,0,0,0,0,0,3,1,0,24,29,13,1,0,0,0,0.0,7.25,1,0,0,0,0,0,0,0,90,8,0,4,13,8,0,0,0,0,0,0,4,0,102,8,127,1,127,127,127,,,India,mohammed siraj,2026-02-07,India vs United States of America
PD Salt,Philip Salt,13,Runs: 1 → 1 | Catches: 1 → 8 | Announced: 1 → 4,ENG,WK,1512723,England,Nepal,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,50.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,1,0,8,13,1,13,13,13,,,England,pd salt,2026-02-08,England vs Nepal
JC Buttler,Jos Buttler,66,Runs: 26 → 26 | Fours: 5 → 20 | Runs milestone bonus: 26 → 4 | Catches: 1 → 8 | Strike Rate: 152.94 → 4 | Announced: 1 → 4,ENG,WK,1512723,England,Nepal,26,17,5,0,1,0,0,0,0,0,0,1,0,0,0,152.94,0.0,1,0,0,26,20,0,4,0,0,0,0,0,0,8,0,0,0,0,4,0,4,50,0,8,66,1,66,66,66,,,England,jc buttler,2026-02-08,England vs Nepal
JG Bethell,Jacob Bethell,111,Runs: 55 → 55 | Fours: 4 → 16 | Sixes: 4 → 24 | Runs milestone bonus: 55 → 8 | Strike Rate: 157.14 → 4 | Announced: 1 → 4,ENG,AR,1512723,England,Nepal,55,35,4,4,1,0,0,0,0,0,0,0,0,0,0,157.14,0.0,1,0,0,55,16,24,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,103,0,0,111,1,111,111,111,,,England,jg bethell,2026-02-08,England vs Nepal
T Banton,Tom Banton,14,Runs: 2 → 2 | Catches: 1 → 8 | Announced: 1 → 4,ENG,WK,1512723,England,Nepal,2,5,0,0,1,0,0,0,0,0,0,1,0,0,0,40.0,0.0,1,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,2,0,8,14,1,14,14,14,,,England,t banton,2026-02-08,England vs Nepal
